Aarão Gouveia
Hermano Bensaúde
Hermígio Osorio
Hélder Caiapó
Hélio Nóbrega
Ibijara Dias
Ildefonso Nascimento
Ildefonso Pamplona
Ilídio Bethecourt
Ilídio Pais
Inaiá Cortês
Irani Vidal
Isilda Ramírez
Itiberê Hernández
Iva Ilha
Ivete Alencar
Ivete Taperebá
Jacira Novais
Jaime Quinterno
Janaína Bessa
Joaquina Dorneles
Jordana Quintal
Jorgina Dias
Josué Correa
Josué Vilarim
Jurema Felgueira
Justino Barreto
Júlia Brandão
Leonor Madeira
Letícia Capiperibe
Levi Baião
Leónidas Aleixo
Leônidas   Vidigal
Lopo Moreyra
Lorena Figueroa
Lua Páez
Luana Lacerda
Luciana Telles
Lucinda Vilas Boas
Lurdes Salgueiro
Luzia Martinho
Lénia García
Lívia Nieves
Marcelo Passarinho
Marco Cotegipe
Margarida Miera
Maria Coitinho
Marilda Imperial
Marli Vides
Mateus Jardim
Maximiliano Osório
Melinda Padilha
Melissa Capiperibe
Micael Botelho
Miriam Gentil
Murilo Aragão
Mónica Góis
Natacha Pádua
Natividade Beserril
Nestor Rua
Neusa Maior
Noel Ventura
Noel Villar
Odete Sá
Ofélia Tabajara
Olga Mansilha
Olívia Coutinho
Oriana Liberato
Palo Filipe
Pandora Castelbranco
Paraguaçu Cardim
Patrícia Gentil
Patrício Tigre
Paula Nóbrega
Paulino Torres
Penélope Bacelar
Polibe Monforte
Políbio Martínez
Porfírio Porciúncula
Priscila Gravato
Querubim Ferrón
Quintilien Gusmão
Quirina Caniça
Raimundo Martins
Raimundo Meireles
Remo Nogueira
Ricardina Feitosa
Roberto Sardina
Roque Carromeu
Rosa Abrantes
Rudá Pedrozo
Rute Aranha
Rute Santarém
Rúben Correia
Salvina Noguera
Samuel Mattos
Sandoval Estrada
Sara Paiva
Sebastião Marcondes
Selma Garrau
Silvana Ulloa
Silvano León
Socorro Feijó
Socorro Souto Maior
Solano Fogaça
Sérgio Ferreyra
Sílvia Henriques
Sônia ou Sonia   Poças
Tatiana Puentes
Teodora Mainha
Teresa Tibiriçá
Tibúrcio Castanheira
Ubaldo Carvalhal
Ubiratã Vieira
Ulisses Curado
Ulisses Maciel
Ulrico Dourado
Ulrico Neves
Uriel Lisboa
Valério Bahia
Valério Briones
Vanda Ferreyra
Vanessa Almeyda
Vanessa Soeiro
Vera Quintais
Veridiano Cortesão
Verônica Caldera
Verônica Parafita
Verônica Pegado
Virgínia Dias
Viriato Paula
Vivaldo Cantanhede
Vivaldo Estrella
Vânia Dias
Vítor ou Victor Jaguaribe
Ximena Chávez
Ximena Salles
Xênia   Cipriano
Zara Viana
Zidane Aldea
Zilda Téllez
Zita Sarmento
Zoe Jorge
Zubaida Jesús
Zuleide Teodoro
Zuriel López
Zózimo Vidal
Álvaro Couto
Átila Castilho
Ângelo Capanema
Érica Corrêa
Íris Lucena
Ítalo Murici
